NPI,Organization Name,City,Missing Fields
1750516399,LANDMARK DENTAL,WEST HAVEN,First Name; Last Name
1891051777,LAWRENCE MESSINA DDS PC,WEST HAVEN,First Name; Last Name
1073862520,"PEDRO S. GARCIA DDS., PC",WEST HAVEN,First Name; Last Name
1518259860,SEREBRO DENTAL P.C.,WEST HAVEN,First Name; Last Name
1588752828,SOUNDENTAL ASSOC P.C.,WEST HAVEN,First Name; Last Name
1881868842,STANLEYJWOLFEDDSPC,WEST HAVEN,First Name; Last Name
1861765711,WEST HAVEN DENTAL LLC,WEST HAVEN,First Name; Last Name
1518401066,WEST SHORE FAMILY DENTAL LLC,WEST HAVEN,First Name; Last Name
1316233182,YANKEE FAMILY DENTAL CARE,WEST HAVEN,First Name; Last Name
1083256226,"CONNECTICUT DENTAL PROFESSIONALS, P.C.",OXFORD,First Name; Last Name
1205685724,DYNAMIC SMILES ORTHODONTICS,OXFORD,First Name; Last Name
1760609333,OXFORD DENTAL ASSOCIATES,OXFORD,First Name; Last Name
1821267667,OXFORD DENTAL GROUP,OXFORD,First Name; Last Name
1942658869,TSM1 LLC,OXFORD,First Name; Last Name
1740092030,BLUE SKY DENTAL PLLC,SIMSBURY,First Name; Last Name
1629106349,CENTER FOR DENTAL EXCELLENCE LLC,SIMSBURY,First Name; Last Name
1639513864,KENNETH R FINN DMD LLC,SIMSBURY,First Name; Last Name
1669686507,MCKENNA ORTHODONTICS PC,SIMSBURY,First Name; Last Name
1194439968,"PEOPLESDENTAL, P.C.",SIMSBURY,First Name; Last Name
1497758817,"PHILIP E. PILON, DMD, LAWRENCE S. CHRISTIAN, DMD, PC",SIMSBURY,First Name; Last Name
1891287629,SIMSBURY FAMILY DENTISTRY PLLC,SIMSBURY,First Name; Last Name
1629403217,SIMSBURY ORTHODONTICS LLC,SIMSBURY,First Name; Last Name
1912305301,MOHAN LLC,PLAINFIELD,First Name; Last Name
1033440961,"WALTER D. FONFARA, D.D.S., P.C.",PLAINFIELD,First Name; Last Name
1588915821,CANDLEWOOD DENTAL CARE INC,NEW FAIRFIELD,First Name; Last Name
1003332487,CANDLEWOOD GENTLE DENTAL,NEW FAIRFIELD,First Name; Last Name
1992160055,CONNECTICUT DENTAL ARTS,NEW FAIRFIELD,First Name; Last Name
1649618901,AVON CENTER DENTISTRY,AVON,First Name; Last Name
1447463526,"AVON DENTAL GROUP, P.C.",AVON,First Name; Last Name
1861937492,AVON FAMILY AND COSMETIC DENTISTRY LLC,AVON,First Name; Last Name
1063567246,AVON FAMILY DENTISTRY,AVON,First Name; Last Name
1376663609,AVON VILLAGE FAMILY DENTISTRY,AVON,First Name; Last Name
1295877678,AVON WELLNESS CENTER DENTAL ASSOCIATES PC,AVON,First Name; Last Name
1689823171,"DENTAL ARTS OF AVON, P.C",AVON,First Name; Last Name
1073041489,ENDODONTIC SOLUTIONS LLC,AVON,First Name; Last Name
1467555995,FARMINGTON VALLEY ORTHODONTIC ASSOCIATES,AVON,First Name; Last Name
1245549203,ISMILE FAMILY DENTISTRY,EAST HARTFORD,First Name; Last Name
1669614772,"JOHN A. BIERLY DMD AND PETER J. PETERSON DMD, PC",AVON,First Name; Last Name
1255431466,"KUHLBERG ORTHODONTICS, P.C.",AVON,First Name; Last Name
1770040404,NEWPOINT FAMILY DENTAL LLC,AVON,First Name; Last Name
1649813783,"PEOPLESDENTAL, P.C.",AVON,First Name; Last Name
1740297308,RMW ENTERPRISE PC,AVON,First Name; Last Name
1497354310,SMILEEZ,AVON,First Name; Last Name
1427616812,TALCOTT DENTAL CARE LLC,WEST HARTFORD,First Name; Last Name
1467085407,WESTERN MASS PERIODONTICS PC,AVON,First Name; Last Name
1942770722,"C&W DENTISTRY, LLC",WINSTED,First Name; Last Name
1003067638,LATVIS FAMILY DENTISTS,TERRYVILLE,First Name; Last Name
1619474954,RALPH J BOZZA,TERRYVILLE,First Name; Last Name
1598179913,SMILE HAVEN DENTAL CENTER LLC,TERRYVILLE,First Name; Last Name
1730251505,SZY INC,TERRYVILLE,First Name; Last Name
1831645167,"TERRYVILLE FAMILY DENTAL, LLC",TERRYVILLE,First Name; Last Name
1790078418,A&G FAMILY DENTISTRY PC,WATERBURY,First Name; Last Name
1306346457,"C&S FAMILY DENTAL WATERBURY, LLC",WATERBURY,First Name; Last Name
1548328495,CHASE PARKWAY DENTAL LLC,WATERBURY,First Name; Last Name
1912394834,CONNECTICUT SMILES LLC,WATERBURY,First Name; Last Name
1881987964,CT DENTAL LLC,WATERBURY,First Name; Last Name
1164745956,"DENTAL GROUP OF WATERBURY, LLC",WATERBURY,First Name; Last Name
1073638896,"ENDODONTIC ASSOCIATES OF GREATER WATERBURY, PC",WATERBURY,First Name; Last Name
1619022639,"LUCIANO D. MARINI, DMD LLC",WATERBURY,First Name; Last Name
1356642540,MICHAEL A MANDINO JR D.D.S DR LOUIS A JULIANO D.D.S. LLC,WATERBURY,First Name; Last Name
1124153903,MICHAEL M. GREENWALD DDS PC,WATERBURY,First Name; Last Name
1275352965,PRECISION DENTAL PLLC,WATERBURY,First Name; Last Name
1437379260,RONALD P. RITUCCI DMD PC,WATERBURY,First Name; Last Name
1881339349,ROSS EDWARD ARONSON DDS PLLC,WATERBURY,First Name; Last Name
1023574753,SANTA MARIA & SCHNEIDER D.M.D WATERBURY LLC,WATERBURY,First Name; Last Name
1033531124,"SMILES OF WATERBURY, LLC",WATERBURY,First Name; Last Name
1437329042,"SPECTRA DENTAL, LLC",WATERBURY,First Name; Last Name
1619390853,STATE DENTAL,WATERBURY,First Name; Last Name
1629121561,STEPHEN WALLACE DDS PC,WATERBURY,First Name; Last Name
1720204415,WEST MAIN DENTAL ASSOCIATES,WATERBURY,First Name; Last Name
1396120390,WEST MAIN FAMILY DENTISTRY,WATERBURY,First Name; Last Name
1790902559,"ASPEN DENTAL OF CENTRAL CT, PC",DANBURY,First Name; Last Name
1750957775,CEDAR DENTAL TEAM PLLC,DANBURY,First Name; Last Name
1710237573,"CONNECTICUT POST MALL DENTAL, PC",BROOKLYN,First Name; Last Name
1477855781,DANBURY DENTAL P.C.,DANBURY,First Name; Last Name
1801009956,"DANBURY DENTAL SERVICES,P.C.",DANBURY,First Name; Last Name
1366571077,DENTAL ASSOCIATES OF CT PC,DANBURY,First Name; Last Name
1073827523,"DENTAL GROUP OF DANBURY,PC",DANBURY,First Name; Last Name
1134413008,GLEN HILL DENTAL PC,DANBURY,First Name; Last Name
1598113813,HILLTOP DENTAL ASSOCIATES LLC,DANBURY,First Name; Last Name
1134512932,LRD DANBURY LLC,DANBURY,First Name; Last Name
1760722201,RALPH GIULIANO,DANBURY,First Name; Last Name
1699894451,"RIDGEFIELD DENTAL CARE, P.C.",RIDGEFIELD,First Name; Last Name
1215328273,"ADVANCED DENTISTRY, INC",CHESHIRE,First Name; Last Name
1669495024,"BARRY A. FELDMAN, D.D.S., P.C.",CHESHIRE,First Name; Last Name
1093322174,"CANDID CONNECTICUT, PLLC",CHESHIRE,First Name; Last Name
1144366030,"CHESHIRE DENTAL ASSOCIATES, PC",CHESHIRE,First Name; Last Name
1205421146,HIGHLAND DENTAL LLC,CHESHIRE,First Name; Last Name
1134513872,NEW LEAF FAMILY DENTAL PC,CHESHIRE,First Name; Last Name
1144432477,"R A ASSOCIATES OF CHESHIRE, LLC",CHESHIRE,First Name; Last Name
1972511772,"SPADOLA & VINCENT, DMD, LLC",CHESHIRE,First Name; Last Name
1427847441,VIJITHA BANDLA PLLC,CHESHIRE,First Name; Last Name
1184063109,"PO-CHENG TSAI DMD, LLC",LEDYARD,First Name; Last Name
1831771450,3885 MAIN ST BRIDGEPORT DENTAL INC,BRIDGEPORT,First Name; Last Name
1720318272,A PLUS DENTAL CARE,BRIDGEPORT,First Name; Last Name
1275749061,A WINNING SMILE LLC,BRIDGEPORT,First Name; Last Name
1366610925,A1 DENTALCARE,BRIDGEPORT,First Name; Last Name
1881048080,"BRIDGEPORT BRACES, LLC",BRIDGEPORT,First Name; Last Name
1154628477,BRIDGEPORT DENTIST,BRIDGEPORT,First Name; Last Name
1063786507,"BRIGHT DENTAL AT BRIDGEPORT, PC",BRIDGEPORT,First Name; Last Name
1437234523,COMMERCE PARK DENTAL GROUP LLC,BRIDGEPORT,First Name; Last Name
1083847172,"CONNECTICUT DENTAL GRUOP, LLC",BRIDGEPORT,First Name; Last Name
1750696399,"CONNECTICUT FAMILY DENTAL, INC",BRIDGEPORT,First Name; Last Name
1588048748,CT BRACES BRIDGEPORT ORTHODONTICS PC,BRIDGEPORT,First Name; Last Name
1609363860,CT BRACES NEWTOWN ORTHODONTICS PC,NEWTOWN,First Name; Last Name
1740525963,"CT BRACES, LLC",NEW HAVEN,First Name; Last Name
1467754309,"CT BRACES, LLC",BRIDGEPORT,First Name; Last Name
1588998884,"DENTAL DREAMS, LLC",BRIDGEPORT,First Name; Last Name
1356756423,LONG RIDGE DENTAL LLC,BRIDGEPORT,First Name; Last Name
1033484043,MERRITT DENTAL LLC,BRIDGEPORT,First Name; Last Name
1184258386,"MYORTHOS HOLDINGS, LLC",BRIDGEPORT,First Name; Last Name
1053705061,"NORTH END DENTAL ASSOCIATES, PC",BRIDGEPORT,First Name; Last Name
1730448978,PERLA DENTAL OF BRIDGEPORT PC,BRIDGEPORT,First Name; Last Name
1881611432,"ROBERT D. MARKOWITZ, D.D.S.,P.C.",BRIDGEPORT,First Name; Last Name
1154560118,CANTON VALLEY DENTAL LLC,CANTON,First Name; Last Name
1063527786,GERARD E BOGUCKI DMS PC,COLLINSVILLE,First Name; Last Name
1184472979,KP DENTAL INC,WINSTED,First Name; Last Name
1255825600,PEOPLESDENTAL PC,WEST HARTFORD,First Name; Last Name
1467844563,GENTLE DENTAL PC,MIDDLETOWN,First Name; Last Name
1497060008,A DENTAL CARE,NORWALK,First Name; Last Name
1871881433,A PLUS DENTAL CARE OF NORWALK PC,NORWALK,First Name; Last Name
1700506714,ADVANCED AESTHETICS AND FAMILY DENTISTRY,NORWALK,First Name; Last Name
1871039644,"ALAN B. ROSENTHAL DMD, LLC",NORWALK,First Name; Last Name
1659756591,"ALL SMILES, LLC",NORWALK,First Name; Last Name
1841720794,ASLEEP DENTISTRY,NORWALK,First Name; Last Name
1205592557,ASNIS DENTAL OF CONNECTICUT LLC,STAMFORD,First Name; Last Name
1568991636,BIBKO ORTHODONTICS LLC,NORWALK,First Name; Last Name
1982720025,CALNON & SUAREZ LLC,NORWALK,First Name; Last Name
1104387489,"CONNECTICUT DENTAL PROFESSIONALS, P.C.",NORWALK,First Name; Last Name
1316321573,CT BRACES NORWALK ORTHODONTICS PC,NORWALK,First Name; Last Name
1679078026,DENTAL ONE LLC,NORWALK,First Name; Last Name
1154773216,DENTAL SLEEP MEDICINE CENTER FOR SNORING AND SLEEP APNEA LLC,NORWALK,First Name; Last Name
1891231346,DENTAL SLEEP MEDICINE CENTER FOR SNORING AND SLEEP APNEA LLC,NORWALK,First Name; Last Name
1891128575,DENTAL SOLUTIONS,NORWALK,First Name; Last Name
1275278467,DENTAL SOLUTIONS KIDS,NORWALK,First Name; Last Name
1437672474,DENTAL SPECIALISTS CENTER OF CONNECTICUT LLC,NORWALK,First Name; Last Name
1063918787,"DEVOTED DENTAL ASSOCIATES, PLLC",NORWALK,First Name; Last Name
1710375498,DIAMOND BRACES OF NORWALK,ENGLEWOOD,First Name; Last Name
1710386933,DIAMOND BRACES OF NORWALK CONNECTICUT LLC,NORWALK,First Name; Last Name
1639613771,DOWNTOWN DENTAL CT PC,NORWALK,First Name; Last Name
1740422021,"ELKE CHEUNG D.M.D. , P.C.",NORWALK,First Name; Last Name
1164446720,ENDODONTIC ASSOCIATES OF NORWALK,NORWALK,First Name; Last Name
1114496569,GUARIGLIA AND GOLDBERG LLP,NORWALK,First Name; Last Name
1699834788,JAMES F WOOD DDS PC,NORWALK,First Name; Last Name
1518030170,"MAEROWITZ-KLEIN DDS,PC",NORWALK,First Name; Last Name
1790133445,MASTERS DENTAL ALLIANCE,NORWALK,First Name; Last Name
1407115801,MERRITT DENTAL CARE LLC,NORWALK,First Name; Last Name
1952684466,"MICHAEL O. KAPNER, DDS, LLC",NORWALK,First Name; Last Name
1215735022,NORWALK DDS LLC,NORWALK,First Name; Last Name
1366890105,"NORWALK DENTAL ASSOCIATES, LLC",NORWALK,First Name; Last Name
1942502695,NORWALK FAMILY DENTAL LLC,NORWALK,First Name; Last Name
1760812580,NORWALK ORTHODONTICS ASSOCIATTES,NORWALK,First Name; Last Name
1780332973,ONE ENDO SUPPORT SERVICES,MAMARONECK,First Name; Last Name
1053704445,PEDIATRIC DENTAL SEDATION SPECIALIST OF CONNECTICUT LLC,NORWALK,First Name; Last Name
1083720080,"PRECISION DENTAL CARE, LLC",NORWALK,First Name; Last Name
1053136846,"PROFESSIONAL DENTAL ALLIANCE OF CT - ORTHO, PLLC",FAIRFIELD,First Name; Last Name
1306624143,"PROFESSIONAL DENTAL ALLIANCE OF CT - ORTHO, PLLC",FAIRFIELD,First Name; Last Name
1962995449,"PROFESSIONAL DENTAL ALLIANCE OF NORWALK, PLLC",NORWALK,First Name; Last Name
1013733583,"PROFESSIONAL DENTAL ALLIANCE OF NORWALK, PLLC",NORWALK,First Name; Last Name
1396821682,"SHEL DENTAL, P.C.",NORWALK,First Name; Last Name
1629580741,"SWEET DREAMS DENTAL ANESTHESIA, PLLC",NORWALK,First Name; Last Name
1225241250,THE HARMONY DENTAL,NORWALK,First Name; Last Name
1083051056,UNIQUE DENTAL CARE PC,NORWALK,First Name; Last Name
1265863518,"ADDISON VILLAGE DENTAL, INC",GLASTONBURY,First Name; Last Name
1225508526,CENTRAL CONNECTICUT OROFACIAL SLEEP MEDICINE INC,GLASTONBURY,First Name; Last Name
1356551865,DENTAL SOLUTIONS OF GLASTONBURY,GLASTONBURY,First Name; Last Name
1366891509,ELITE DENTAL,CROMWELL,First Name; Last Name
1427189893,GLASTONBURY DENTAL ASSOCIATES LLP,GLASTONBURY,First Name; Last Name
1205545704,GLASTONBURY DENTAL CARE,GLASTONBURY,First Name; Last Name
1356458483,GLASTONBURY FAMILY DENTAL,GLASTONBURY,First Name; Last Name
1447596408,GLASTONBURY FAMILY DENTAL PC,GLASTONBURY,First Name; Last Name
1962590380,"GRACE A. NAKOS, DMD, P.C.",GLASTONBURY,First Name; Last Name
1932246733,HEIM & CARROLL DMD LLC,GLASTONBURY,First Name; Last Name
1871917179,KELLY FAMILY ORTHODONTICS,GLASTONBURY,First Name; Last Name
1407455538,NEW: GLASTONBURY ORAL AND IMPLANT SURGERY PLLC,GLASTONBURY,First Name; Last Name
1619118999,PROSPECT DENTAL,GLASTONBURY,First Name; Last Name
1992871628,RISINGER ORTHODONTICS PC,GLASTONBURY,First Name; Last Name
1629268982,ROUND AND HERRICK FAMILY DENTISTRY P.C.,GLASTONBURY,First Name; Last Name
1548484561,"SMILES FOR THE FUTURE, LLC",GLASTONBURY,First Name; Last Name
1467110031,TOLLAND DENTAL ASSOCIATES LLC,TOLLAND,First Name; Last Name
1063869162,"BRADFORD J. PINKOS, DMD, LLC",BRIDGEWATER,First Name; Last Name
1336570357,"EVERGREEN PROSTHODONTIC ASSOCIATES, LLC",SOUTHBURY,First Name; Last Name
1437613320,JACK ZAZZARO DMD LLC,SOUTHBURY,First Name; Last Name
1396209219,JETAS DENTAL,SOUTHBURY,First Name; Last Name
1497956510,"SOUTHBURY SMILES, LLC",SOUTHBURY,First Name; Last Name
1578018487,THE SMILE SPOT,SOUTHBURY,First Name; Last Name
1013037845,"BRACEDR, PC",HAMDEN,First Name; Last Name
1932245859,DANDREA & PANTERA DMD PC,HAMDEN,First Name; Last Name
1306378153,DRS CHEN AND SEIGNEMARTIN LLC,HAMDEN,First Name; Last Name
1184057192,HAMDEN FAMILY DENTAL CENTER,HAMDEN,First Name; Last Name
1891970166,"JERALYN R. FANTARELLA, DMD, P.C.",HAMDEN,First Name; Last Name
1871833897,JONATHAN L. GOLDBERG DMD,HAMDEN,First Name; Last Name
1588869127,LISBETH STEEN DMD LLC,HAMDEN,First Name; Last Name
1780397455,MONARCH DENTISTRY,HAMDEN,First Name; Last Name
1629118559,NEW HAVEN DENTAL GROUP,HAMDEN,First Name; Last Name
1033862909,ORTHOHQ PC,HAMDEN,First Name; Last Name
1164878740,"PINES DENTAL ASSOCIATES, P.C.",HAMDEN,First Name; Last Name
1891257689,"PYRAMID FAMILY DENTAL CARE, LLC",HAMDEN,First Name; Last Name
1346389392,"ROBERT N. REYNOLDS,D.D.S.,P.C.",HAMDEN,First Name; Last Name
1295165421,ALBANO & GREENWALD LLC,TORRINGTON,First Name; Last Name
1841408648,ARTISTIC DENTAL MEDICINE,NEW HARTFORD,First Name; Last Name
1750599551,B & B DENTISTRY LLC,TORRINGTON,First Name; Last Name
1356493233,"BYRON J. ROUND, D.D.S., P.C.",TORRINGTON,First Name; Last Name
1699384966,CONNECTICUT PERIODONTAL & IMPLANT ASSOCIATES,WINDSOR,First Name; Last Name
1114467164,"CONSOLIDATED ORTHODONTIC SERVICES, LLC",TORRINGTON,First Name; Last Name
1871656660,"DRS.COUTANT, SEDERQUST & NEBOR, DENTISTS,PC",TORRINGTON,First Name; Last Name
1366718041,ESTHETIC FAMILY DENTISTRY,TORRINGTON,First Name; Last Name
1811303076,ICARE DENTAL LLC,TORRINGTON,First Name; Last Name
1962605378,ISADORE B TEMKIN DDS,TORRINGTON,First Name; Last Name
1487779542,JAMES T SMITH JR DMD PC,TORRINGTON,First Name; Last Name
1326255845,JORGE F BAUJIN,TORRINGTON,First Name; Last Name
1619550845,KAVITA SHARMA DDS PLLC,TORRINGTON,First Name; Last Name
1952618498,KENNEDY DENTAL,TORRINGTON,First Name; Last Name
1255632667,KENNEDY FAMILY DENTAL,TORRINGTON,First Name; Last Name
1841426962,LITCHFIELD HILLS FAMILY DENTAL,TORRINGTON,First Name; Last Name
1568920239,M&N DENTAL CARE PLLC,TORRINGTON,First Name; Last Name
1922294685,"O.M.S. ASSOCIATES, P.C.",TORRINGTON,First Name; Last Name
1154721777,"PDC ASSOCIATES, LLC",TORRINGTON,First Name; Last Name
1366815276,"QUINN DENTAL, INC",TORRINGTON,First Name; Last Name
1477562031,RASHMI C PATEL DDS PC,TORRINGTON,First Name; Last Name
1003984824,TORRINGTON DENTAL CARE PC,TORRINGTON,First Name; Last Name
1588032700,"TORRINGTON DENTAL, LLC",TORRINGTON,First Name; Last Name
1679363618,"EAST HAVEN GENERAL AND IMPLANT DENTISTRY, PLLC",EAST HAVEN,First Name; Last Name
1538378088,"R.E.STELLER,D.M.D.,P.C.",EAST HAVEN,First Name; Last Name
1336471614,STAR DENTAL LLC,EAST HAVEN,First Name; Last Name
1386629020,"VANDLIK, FURINO, AND ASSOCIATES, LLC",EAST HAVEN,First Name; Last Name
1306011945,"CARING DENTAL GROUP, LLC",NEWTOWN,First Name; Last Name
1619061504,JOHN A DUDLEY DMD AND DEIDER M CONDON DMD LLC,NEWTOWN,First Name; Last Name
1467743518,"JOSHUA E. BAUM, DMD",NEWTOWN,First Name; Last Name
1417628397,"MYORTHOS CONNECTICUT ORTHODONTICS, P.C.",NEWTOWN,First Name; Last Name
1972047116,"NEWTOWN FAMILY DENTISTRY, LLC",NEWTOWN,First Name; Last Name
1497649115,SLEEP CONNECTICUT PLLC,NEWTOWN,First Name; Last Name
1538470232,C S VINCENT DMD LLC,NORWALK,First Name; Last Name
1598041154,DR DENTAL OF NORWALK PC,NORWALK,First Name; Last Name
1407182033,"DR. DENTAL OF CONNECTICUT, PC",STRATFORD,First Name; Last Name
1154591873,QUALITY DENTAL,NORWALK,First Name; Last Name
1912624842,SEUNG YUB SONG DDS LLC,NORWALK,First Name; Last Name
1831483312,"SONO DENTAL GROUP, LLC",NORWALK,First Name; Last Name
1023446093,LIFE LONG DENTAL CARE OF NORTHFORD LLC,NORTHFORD,First Name; Last Name
1316264823,NORTHFORD FAMILY DENTAL,NORTHFORD,First Name; Last Name
1811488356,"PROFESSIONAL DENTAL ALLIANCE OF NORTHFORD, PLLC",NORTHFORD,First Name; Last Name
1487900809,SUPERB DENTAL AESTHETICS LLC,NORTHFORD,First Name; Last Name
1295877199,"D'AGOSTINO FAMILY DENTAL, LLC",NORTH HAVEN,First Name; Last Name
1588141972,FANTARELLA DENTAL GROUP,NORTH HAVEN,First Name; Last Name
1699244822,NORTH HAVEN DENTISTS PLLC,NORTH HAVEN,First Name; Last Name
1962949206,NORTHHAVENFAMILYDENTAL,NORTH HAVEN,First Name; Last Name
1760431621,NOVA DENTAL LLC,NORTH HAVEN,First Name; Last Name
1194946046,"ROBERT D. ROSENBERG, D.D.S., P.C.",NORTH HAVEN,First Name; Last Name
1053132795,SPH NORTH HAVEN LLC,NORTH HAVEN,First Name; Last Name
1689399719,"VARSHA SALANI DMD, LLC",NORTH HAVEN,First Name; Last Name
1558506535,COMPLETE DENTAL SERVICE LLC,NAUGATUCK,First Name; Last Name
1326428889,CONNECTICUT CENTER FOR RESTORATIVE DENTISTRY,NAUGATUCK,First Name; Last Name
1598209017,DAWN M MIKAITIS DMD LLC,NAUGATUCK,First Name; Last Name
1043479199,"GEOFFREY M. DRAWBRIDGE, D.D.S., P.C.",NAUGATUCK,First Name; Last Name
1568699692,HENRY K. DANZIGER DDS,NAUGATUCK,First Name; Last Name
1700267846,BODNER AND BODNER- BRANFORD,BRANFORD,First Name; Last Name
1568794410,BRANFORD DENTAL CARE PARTNERSHIP,BRANFORD,First Name; Last Name
1396103255,"BRANFORD DENTAL GROUP, LLC",STRATFORD,First Name; Last Name
1518221092,"JAMES H. MENDILLO, DMD",BRANFORD,First Name; Last Name
1861779373,"JSAM, LLC",BRANFORD,First Name; Last Name
1255971297,MENDILLO FAMILY DENTISTRY PLLC,BRANFORD,First Name; Last Name
1205976123,NEW HAVEN DENTAL GROUP,BRANFORD,First Name; Last Name
1376836742,NORMA GOMEZ DDS AND ASSOCIATES LLC,BRANFORD,First Name; Last Name
1891135109,"SHORELINE DENTAL SLEEP THERAPY, LLC",BRANFORD,First Name; Last Name
1871623777,BROOKLAWN DENTAL ASSOCIATES PC,BRIDGEPORT,First Name; Last Name
1225629108,CAMPUS ORTHODONTICS PLLC,BRIDGEPORT,First Name; Last Name
1831476050,DENTAL CENTERS OF FAIRFILED COUNTY LLC,BRIDGEPORT,First Name; Last Name
1740626266,DOWNTOWN DENTAL P.C.,BRIDGEPORT,First Name; Last Name
1306269758,DR.DENTAL OF BRIDGEPORT PC,BRIDGEPORT,First Name; Last Name
1619864741,"EMME COALITION, INC",BRIDGEPORT,First Name; Last Name
1124308184,FAMILY DENTISTRY OF BRIDGEPORT P.C.,BRIDGEPORT,First Name; Last Name
1487038568,G&A FAMILY DENTISTRY PLLC,OCEANSIDE,First Name; Last Name
1497219489,JACKQUELINE MCLEAN DDS LLC,BRIDGEPORT,First Name; Last Name
1710191366,JEWISH HOME FOR THE ELDERLY OF FAIRFIELD COUNTY INCORPORATED,BRIDGEPORT,First Name; Last Name
1780930263,NORTH AVENUE ADVANCED DENTAL CENTER,BRIDGEPORT,First Name; Last Name
1871863613,"TETYANA POHORLETSKA ANDASSOCIATES, INC.",BRIDGEPORT,First Name; Last Name
1013731561,BROOKFIELD ORTHODONTICS,BROOKFIELD,First Name; Last Name
1366649188,BROOKFIELDFAMILYDENTALART,BROOKFIELD,First Name; Last Name
1689011033,"SCOTT A. BIALIK, DDS LLC",BROOKFIELD,First Name; Last Name
1982729158,THE DENTAL TEAM,BROOKFIELD,First Name; Last Name
1891244950,"ADULT AND PEDIATRIC DENTAL CARE OF WESTPORT,LLC",WESTPORT,First Name; Last Name
1457899874,ADVANCED DENTAL OF WESTPORT,WESTPORT,First Name; Last Name
1851921068,BROWDER FAMILY DENTISTRY,WESTPORT,First Name; Last Name
1225463268,"DENTAL CENTER OF WESTPORT GROUP, LLC",WESTPORT,First Name; Last Name
1336699396,DRIESMAN ORTHODONTICS,WESTPORT,First Name; Last Name
1669795381,"IMPERIAL DENTAL ASSOC., PC",WESTPORT,First Name; Last Name
1508554700,LIFE BRIDGE DENTAL CT PLLC,WESTPORT,First Name; Last Name
1508517756,ROCKWALL ORTHODONTICS INC,WESTPORT,First Name; Last Name
1104983345,THE DENTAL CENTER OF WESTPORT,WESTPORT,First Name; Last Name
1275580870,"WESTPORT DENTAL ASSOCIATES, P.C.",WESTPORT,First Name; Last Name
1710630066,WESTPORT FAMILY DENTAL ASSOCIATES PLLC,WESTPORT,First Name; Last Name
1275091274,MAKAR DENTAL LLC,STAMFORD,First Name; Last Name
1659010924,NEW CANAAN DENTAL ARTS PLLC,NEW CANAAN,First Name; Last Name
1689461139,RICHARD CHAE DDS PLLC,NEW CANAAN,First Name; Last Name
1114325925,APEX DENTAL LLC,HARTFORD,First Name; Last Name
1477823433,"BRIGHT DENTAL CLINIC, PC",HARTFORD,First Name; Last Name
1417317454,BRIGHT SMILES LLC,HARTFORD,First Name; Last Name
1548635899,CHARTER OAK DENTAL CENTER LLC,HARTFORD,First Name; Last Name
1225154446,CHARTER OAK HEALTH CENTER,HARTFORD,First Name; Last Name
1013290147,COMFORT DENTAL LLC,HARTFORD,First Name; Last Name
1528592581,CONFI DENTAL LLC,WALLINGFORD,First Name; Last Name
1699185264,"CREST FAMILY DENTAL, LLC",HARTFORD,First Name; Last Name
